"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
7757,"Tata Nexon EV Prime XZ Plus","Tata",1590000,2021,0,"1","Automatic",23200,"2nd","Electric",127.0,5.0,0.0,"SUV","Hyderabad"
7758,"Hyundai Venue SX BSVI","Hyundai",1200000,2022,1197,"1","Manual",10000,"2nd","Petrol",81.8,5.0,0.0,"SUV","Hyderabad"
7759,"Hyundai Verna SX Opt Turbo","Hyundai",1900000,2023,1482,"1","Manual",10000,"2nd","Petrol",157.57,5.0,20.0,"Sedan","Hyderabad"
7760,"Mahindra Marazzo M2 BSVI","Mahindra",950000,2020,1497,"1","Manual",110000,"3rd","Diesel",120.96,7.0,17.3,"MUV","Hyderabad"
7761,"MG Astor Smart BSVI","MG",1484000,2022,1498,"1","Manual",1800,"2nd","Petrol",108.49,5.0,15.43,"SUV","Hyderabad"
7762,"Honda City i VTEC V","Honda",529000,2014,1497,"1","Manual",124781,"2nd","Petrol",117.3,5.0,17.4,"Sedan","Hyderabad"
7763,"Maruti Ignis 1.2 Delta BSIV","Maruti",528000,2018,1197,"1","Manual",20034,"2nd","Petrol",81.8,5.0,20.89,"Hatchback","Hyderabad"
7764,"Honda Amaze S Petrol BSIV","Honda",622000,2019,1199,"1","Manual",37566,"3rd","Petrol",88.76,5.0,19.5,"Sedan","Hyderabad"
7765,"Maruti Alto 800 VXI BSVI","Maruti",422000,2022,796,"1","Manual",16141,"2nd","Petrol",47.33,5.0,22.05,"Hatchback","Hyderabad"
7766,"Honda Amaze S Petrol BSIV","Honda",627000,2018,1199,"1","Manual",81854,"2nd","Petrol",88.76,5.0,19.5,"Sedan","Hyderabad"
7767,"Maruti Baleno 1.2 Zeta","Maruti",590000,2016,1197,"1","Manual",78911,"3rd","Petrol",83.1,5.0,21.4,"Hatchback","Hyderabad"
